UBA.Genome.ID	Experiment.Title	Study.Title
UBA1	Hakon Mosby Mud Volcano metagenomic sequencing: Sample PS64_373_1_GC	Hakon Mosby Mud Volcano Targeted Locus (Loci)
UBA2	Hakon Mosby Mud Volcano metagenomic sequencing: Sample PS64_373_1_GC	Hakon Mosby Mud Volcano Targeted Locus (Loci)
UBA3	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA4	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA5	High-throughput sequencing of the metagenome extracted from AM-anode biofilm	Comparative metagenome analyses of anode-associated microbial communities developed in rice paddy field-soil microbial fuel cells
UBA6	High-throughput sequencing of the metagenome extracted from AM-anode biofilm	Comparative metagenome analyses of anode-associated microbial communities developed in rice paddy field-soil microbial fuel cells
UBA7	High-throughput sequencing of the metagenome extracted from GM-anode biofilm	Comparative metagenome analyses of anode-associated microbial communities developed in rice paddy field-soil microbial fuel cells
UBA8	High-throughput sequencing of the metagenome extracted from GM-anode biofilm	Comparative metagenome analyses of anode-associated microbial communities developed in rice paddy field-soil microbial fuel cells
UBA9	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA10	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA11	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA12	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA13	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA14	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA15	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
UBA16	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses
