LABELS
SEPARATOR TAB
DATA
accession	name (group)
GCA_000011365.1	Bradyrhizobium diazoefficiens USDA 110 (Alphaproteobacteria)
GCA_000013645.1	Paraburkholderia xenovorans LB400 (Betaproteobacteria)
GCA_000014085.1	Burkholderia cenocepacia AU 1054 (Betaproteobacteria)
GCA_000015165.1	Bradyrhizobium sp. BTAi1 (Alphaproteobacteria)
GCA_000019505.1	Burkholderia cenocepacia MC0-3 (Betaproteobacteria)
GCA_000023345.1	Variovorax paradoxus S110 (Betaproteobacteria)
GCA_000026145.1	Bradyrhizobium sp. ORS 278 (Alphaproteobacteria)
GCA_000147835.3	Sphingobium chlorophenolicum L-1 (Alphaproteobacteria)
GCA_000152565.1	Burkholderia cenocepacia PC184 (Betaproteobacteria)
GCA_000152585.1	Burkholderia dolosa AU0158 (Betaproteobacteria)
GCA_000170835.1	Marinobacter algicola DG893 (Gammaproteobacteria)
GCA_000171835.1	alpha proteobacterium BAL199 (Alphaproteobacteria)
GCA_000178415.2	Burkholderia sp. Ch1-1 (Betaproteobacteria)
GCA_000203875.1	Cupriavidus pinatubonensis JMP134 (Betaproteobacteria)
GCA_000203955.1	Burkholderia cenocepacia HI2424 (Betaproteobacteria)
GCA_000219915.3	Advenella kashmirensis WT001 (Betaproteobacteria)
GCA_000224765.2	SAR324 cluster bacterium JCVI-SC AAA005 (Deltaproteobacteria)
GCA_000239755.2	Bradyrhizobium sp. ORS 285 (Alphaproteobacteria)
GCA_000239775.2	Bradyrhizobium sp. ORS 375 (Alphaproteobacteria)
GCA_000239795.2	Bradyrhizobium sp. STM 3809 (Alphaproteobacteria)
GCA_000239815.2	Bradyrhizobium sp. STM 3843 (Alphaproteobacteria)
GCA_000244915.1	Bradyrhizobium sp. WSM471 (Alphaproteobacteria)
GCA_000244935.1	Bradyrhizobium sp. WSM1253 (Alphaproteobacteria)
GCA_000246875.2	Halomonas sp. KM-1 (Gammaproteobacteria)
GCA_000257685.2	Bradyrhizobium elkanii 587 (Alphaproteobacteria)
GCA_000261505.1	Bradyrhizobium elkanii CCBAU 05737 (Alphaproteobacteria)
GCA_000261525.1	Bradyrhizobium elkanii CCBAU 43297 (Alphaproteobacteria)
GCA_000261545.1	Bradyrhizobium japonicum CCBAU 15354 (Alphaproteobacteria)
GCA_000261565.1	Bradyrhizobium japonicum CCBAU 15517 (Alphaproteobacteria)
GCA_000261585.1	Bradyrhizobium japonicum CCBAU 15618 (Alphaproteobacteria)
GCA_000261605.1	Bradyrhizobium japonicum CCBAU 25435 (Alphaproteobacteria)
GCA_000261625.1	Bradyrhizobium japonicum CCBAU 83623 (Alphaproteobacteria)
GCA_000261665.1	Bradyrhizobium liaoningense CCBAU 83689 (Alphaproteobacteria)
GCA_000261705.1	Bradyrhizobium sp. CCBAU 15544 (Alphaproteobacteria)
GCA_000261725.1	Bradyrhizobium sp. CCBAU 15615 (Alphaproteobacteria)
GCA_000261745.1	Bradyrhizobium sp. CCBAU 15635 (Alphaproteobacteria)
GCA_000261765.1	Bradyrhizobium diazoefficiens (Alphaproteobacteria)
GCA_000261785.1	Bradyrhizobium yuanmingense CCBAU 05623 (Alphaproteobacteria)
GCA_000261805.1	Bradyrhizobium yuanmingense CCBAU 25021 (Alphaproteobacteria)
GCA_000261825.1	Bradyrhizobium yuanmingense CCBAU 35157 (Alphaproteobacteria)
GCA_000263795.2	Hydrogenophaga sp. PBC (Betaproteobacteria)
GCA_000277525.1	Sphingobium xenophagum QYY (Alphaproteobacteria)
GCA_000282615.1	Bradyrhizobium sp. YR681 (Alphaproteobacteria)
GCA_000283515.1	Sphingobium sp. SYK-6 (Alphaproteobacteria)
GCA_000284275.1	Bradyrhizobium sp. S23321 (Alphaproteobacteria)
GCA_000284375.1	Bradyrhizobium japonicum USDA 6 (Alphaproteobacteria)
GCA_000293865.2	Limnohabitans sp. Rim28 (Betaproteobacteria)
GCA_000296215.2	Bradyrhizobium sp. CCGE-LA001 (Alphaproteobacteria)
GCA_000312425.1	Reyranella massiliensis 521 (Alphaproteobacteria)
GCA_000344805.1	Bradyrhizobium oligotrophicum S58 (Alphaproteobacteria)
GCA_000367345.1	Sphingobium xenophagum NBRC 107872 (Alphaproteobacteria)
GCA_000372985.1	Paraburkholderia sp. JPY251 (Betaproteobacteria)
GCA_000373125.1	Bradyrhizobium sp. WSM4349 (Alphaproteobacteria)
GCA_000374205.1	Bradyrhizobium japonicum USDA 124 (Alphaproteobacteria)
GCA_000376165.1	gamma proteobacterium SCGC AB-629-K02 (Gammaproteobacteria)
GCA_000377585.1	Variovorax paradoxus 4MFCol3.1 (Betaproteobacteria)
